Day fraction since midnight on 8/7/2024,raw (L/min),filter (volts),sludge (volts),turbidityInfluent (NTU),turbidityEffluent (NTU),turbidityClarified (NTU),turbidityTubeSettler (),coagulantDoseController (rpm),masterflexPumpController (),coagulantDose(mg/L) (),coagDoseToFlow(mL/s) (),setGlobalVariables (),flocculatedTurbidity (NTU),flocSaturation (),tubeSettlerController (),shiftedInfluent (NTU),DOM (mg/L)
0.37514342,0.01813293,0.3889032,0.40454847,6.04896164,0.29282075,0.0,0.0,0.0,0.63157895,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.37520085,0.01959418,0.38858712,0.39982408,6.04896164,0.28981364,1.58077157,2.13518929,0.0,0.63157895,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.37525829,0.01868604,0.38841259,0.4025338,5.95990705,0.27797583,1.56246364,2.32159829,0.0,0.63157895,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.37531573,0.02085736,0.38859448,0.40246254,5.96155596,0.29309645,1.55967212,2.6823051,0.0,0.63157895,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.37537317,0.01824131,0.38859072,0.40103823,5.9210515,0.29309645,1.68712938,3.07420921,0.0,0.63157895,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.3754306,0.02017719,0.38867947,0.39986199,5.88467598,0.29309645,1.69150579,3.15431023,0.0,0.63157895,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.37548803,0.02113952,0.38852137,0.40639025,5.86056662,0.30261225,1.49235094,3.15431023,0.0,0.63157895,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.37554547,0.01692208,0.3885411,0.40763777,5.86118937,0.27998742,1.17585433,2.61238527,0.0,0.63157895,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.37560291,0.01582147,0.38841033,0.40409228,5.83207417,0.27163213,1.34900784,2.18578625,0.0,0.63157895,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.37566035,0.01759851,0.38868406,0.39919856,5.84168482,0.26638198,1.30932796,2.18578625,0.0,0.63157895,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.37571779,0.0209564,0.3887336,0.40157485,5.88056612,0.26429391,1.15334368,2.17471719,0.0,0.63157895,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.37577522,0.01798718,0.38857418,0.40567946,5.95347261,0.26429391,1.15334368,2.67084789,0.0,0.63157895,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.37583266,0.02014729,0.38845903,0.40961725,6.01307344,0.2632792,1.37318993,2.61416984,0.0,0.63157895,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
